ESSENTIAL,1089,217
LUXURY,2344,428
ESSENTIAL,3288,723
LUXURY,3340,1155
UTILITY,787,714
LUXURY,465,421
UTILITY,3612,980
ESSENTIAL,2062,1284
UTILITY,2884,439
ESSENTIAL,3053,265
LUXURY,3365,1956
ESSENTIAL,200,1445
UTILITY,1649,1349
UTILITY,604,1363
ESSENTIAL,2516,1397
LUXURY,335,827
LUXURY,1650,1960
ESSENTIAL,1846,41
ESSENTIAL,3895,191
UTILITY,3501,745
LUXURY,2910,1665
UTILITY,1801,964
ESSENTIAL,3194,1272
UTILITY,3468,303
UTILITY,3506,1308
LUXURY,1015,1317
UTILITY,1085,1559
LUXURY,329,1655
LUXURY,3513,1137
UTILITY,3288,1132
ESSENTIAL,3436,623
ESSENTIAL,2393,73
LUXURY,878,1261
LUXURY,1201,1675
ESSENTIAL,2837,1084
UTILITY,1411,1724
UTILITY,1670,613
LUXURY,3382,816
UTILITY,3516,1555
ESSENTIAL,1571,1156
ESSENTIAL,2385,799
UTILITY,266,1527
LUXURY,785,803
UTILITY,221,819
LUXURY,2279,868
UTILITY,2713,1670
UTILITY,1547,283
ESSENTIAL,1358,1071
LUXURY,2568,1661
ESSENTIAL,728,251
UTILITY,182,1424
ESSENTIAL,3539,1707
ESSENTIAL,4,913
UTILITY,1153,1609
UTILITY,3983,1862
UTILITY,28,1514
ESSENTIAL,2946,769
ESSENTIAL,1685,472
UTILITY,2233,1743
ESSENTIAL,921,805
ESSENTIAL,1925,824
UTILITY,1047,1507
UTILITY,2703,171
LUXURY,8,565
UTILITY,1265,91
ESSENTIAL,1258,867
LUXURY,3617,388
ESSENTIAL,1952,740
ESSENTIAL,531,1633
LUXURY,1840,1169
ESSENTIAL,1699,206
LUXURY,1349,1701
UTILITY,2247,1910
LUXURY,3688,1618
UTILITY,3112,225
ESSENTIAL,2864,283
UTILITY,1595,74
ESSENTIAL,1130,163
LUXURY,1941,1148
UTILITY,1986,1551
UTILITY,3225,874
UTILITY,552,237
UTILITY,3962,287
UTILITY,1134,1283
LUXURY,1995,752
UTILITY,1228,202
UTILITY,2339,476
ESSENTIAL,2440,635
ESSENTIAL,3360,99
ESSENTIAL,433,158
ESSENTIAL,2548,1187
ESSENTIAL,2101,1075
ESSENTIAL,1139,1077
UTILITY,3592,1257
UTILITY,1563,1519
ESSENTIAL,2969,1587
ESSENTIAL,2196,1565
LUXURY,1426,721
UTILITY,423,1705
ESSENTIAL,3775,1910
