ESSENTIAL,1672,1471
LUXURY,781,1091
UTILITY,3823,458
UTILITY,94,686
UTILITY,11,1428
LUXURY,1852,1760
UTILITY,1283,0
LUXURY,498,1138
UTILITY,3516,1897
UTILITY,3965,1520
UTILITY,1835,493
ESSENTIAL,3764,1988
ESSENTIAL,2518,871
UTILITY,3004,1564
ESSENTIAL,3074,1773
UTILITY,2821,1824
LUXURY,2373,100
UTILITY,2564,1657
LUXURY,251,363
UTILITY,2342,1680
LUXURY,473,1366
ESSENTIAL,3910,1431
ESSENTIAL,3581,733
UTILITY,1546,1918
UTILITY,208,249
ESSENTIAL,2080,1809
LUXURY,1633,1126
ESSENTIAL,3827,1857
ESSENTIAL,871,1033
UTILITY,3586,585
ESSENTIAL,2162,45
UTILITY,3745,171
ESSENTIAL,2885,563
LUXURY,3604,1815
LUXURY,2409,836
ESSENTIAL,2797,1828
LUXURY,3723,1038
ESSENTIAL,1628,1270
ESSENTIAL,939,267
UTILITY,1148,1134
LUXURY,2692,623
ESSENTIAL,868,1235
ESSENTIAL,3593,1659
ESSENTIAL,3670,14
UTILITY,749,1265
UTILITY,193,875
UTILITY,1627,1144
ESSENTIAL,446,1642
ESSENTIAL,298,282
LUXURY,3287,1337
LUXURY,3136,1462
LUXURY,483,1084
ESSENTIAL,557,514
LUXURY,3232,753
UTILITY,2526,629
ESSENTIAL,3196,1578
UTILITY,2283,119
LUXURY,3220,1620
ESSENTIAL,442,1343
LUXURY,2810,1625
LUXURY,3269,1939
UTILITY,3915,1352
UTILITY,1659,1542
ESSENTIAL,3775,293
ESSENTIAL,2488,1958
UTILITY,3494,987
LUXURY,168,1476
ESSENTIAL,2036,1478
ESSENTIAL,3242,1864
LUXURY,308,1660
UTILITY,2852,3
LUXURY,1024,554
UTILITY,761,1855
UTILITY,1081,750
UTILITY,1163,1459
ESSENTIAL,2172,1426
UTILITY,2857,790
UTILITY,2289,354
ESSENTIAL,3731,1762
ESSENTIAL,2187,1203
ESSENTIAL,3794,1942
LUXURY,2714,280
LUXURY,393,750
LUXURY,1230,1442
LUXURY,2925,229
UTILITY,2073,1530
ESSENTIAL,493,127
UTILITY,701,1204
LUXURY,1729,1652
LUXURY,27,909
UTILITY,1204,1320
UTILITY,378,104
ESSENTIAL,2774,1903
UTILITY,677,285
ESSENTIAL,2882,1333
LUXURY,3335,859
ESSENTIAL,1821,373
LUXURY,2446,1195
UTILITY,41,887
LUXURY,2047,191
