UTILITY,48,27
ESSENTIAL,65,42
LUXURY,177,23
UTILITY,71,64
UTILITY,113,5
ESSENTIAL,134,67
ESSENTIAL,10,71
LUXURY,0,23
ESSENTIAL,103,9
ESSENTIAL,197,29
ESSENTIAL,172,97
UTILITY,179,15
ESSENTIAL,183,8
UTILITY,194,21
UTILITY,75,19
UTILITY,183,31
LUXURY,46,93
LUXURY,41,38
UTILITY,22,71
ESSENTIAL,130,69
LUXURY,116,20
LUXURY,99,70
LUXURY,80,61
UTILITY,111,40
UTILITY,13,35
LUXURY,138,25
UTILITY,118,18
UTILITY,60,12
ESSENTIAL,116,79
ESSENTIAL,37,1
UTILITY,114,23
ESSENTIAL,2,87
UTILITY,153,13
LUXURY,170,72
LUXURY,189,20
ESSENTIAL,66,53
UTILITY,178,82
LUXURY,119,16
LUXURY,115,15
ESSENTIAL,57,53
UTILITY,190,21
ESSENTIAL,116,79
LUXURY,80,53
LUXURY,136,50
LUXURY,44,59
UTILITY,119,60
UTILITY,0,11
LUXURY,194,41
LUXURY,91,82
LUXURY,148,58
ESSENTIAL,164,29
ESSENTIAL,10,24
UTILITY,132,55
UTILITY,41,92
ESSENTIAL,96,29
UTILITY,185,9
UTILITY,90,73
UTILITY,51,71
ESSENTIAL,48,52
LUXURY,121,78
ESSENTIAL,90,4
ESSENTIAL,135,15
ESSENTIAL,130,63
LUXURY,57,5
UTILITY,174,63
ESSENTIAL,79,41
UTILITY,23,31
LUXURY,38,29
UTILITY,115,39
UTILITY,72,78
UTILITY,3,6
ESSENTIAL,50,18
LUXURY,171,16
ESSENTIAL,78,29
UTILITY,4,50
UTILITY,68,50
ESSENTIAL,14,50
LUXURY,76,84
ESSENTIAL,55,9
UTILITY,12,53
ESSENTIAL,154,80
UTILITY,34,92
ESSENTIAL,69,73
LUXURY,57,88
UTILITY,162,73
ESSENTIAL,164,62
LUXURY,188,73
UTILITY,185,86
ESSENTIAL,139,45
LUXURY,101,15
LUXURY,89,61
LUXURY,76,83
LUXURY,10,82
ESSENTIAL,133,40
LUXURY,99,74
ESSENTIAL,46,54
UTILITY,154,9
ESSENTIAL,77,51
UTILITY,83,58
ESSENTIAL,23,46
